date,price(KRW),change,interPrice(USD),currency(USD-KRW)
2021-05-21,68060.62,74.09,1876.06,1128.5
2021-05-20,68134.71,310.62,1871.47,1132.5
2021-05-18,67824.09,196.48,1869.54,1128.5
2021-05-17,67627.61,1080.69,1853.45,1135.0
2021-05-14,66546.92,453.54,1835.15,1128.0
2021-05-13,66093.38,245.73,1815.4,1132.5
2021-05-12,66339.11,343.68,1833.48,1125.5
2021-05-11,65995.43,245.7,1836.22,1118.0
2021-05-10,65749.73,160.37,1835.95,1114.0
2021-05-07,65589.36,661.33,1820.85,1120.5
2021-05-06,64928.03,340.8,1795.28,1125.0
2021-05-04,64587.23,536.74,1786.65,1124.5
2021-05-03,64050.49,732.03,1775.75,1122.0
2021-04-30,63318.46,48.69,1769.65,1113.0
2021-04-29,63367.15,35.78,1777.4,1109.0
2021-04-28,63331.37,305.86,1770.01,1113.0
2021-04-27,63637.23,73.59,1779.36,1112.5
2021-04-26,63563.64,499.46,1779.7,1111.0
2021-04-23,64063.1,298.19,1784.85,1116.5
2021-04-22,64361.29,393.21,1789.95,1118.5
2021-04-21,63968.08,712.28,1778.22,1119.0
2021-04-20,63255.8,787.57,1767.9,1113.0
2021-04-19,64043.37,775.77,1786.7,1115.0
2021-04-16,63267.6,604.83,1765.85,1114.5
2021-04-15,62662.77,157.12,1747.4,1115.5
2021-04-14,62505.65,77.92,1746.15,1113.5
2021-04-13,62427.73,425.8,1728.45,1123.5
2021-04-12,62853.53,4.62,1737.92,1125.0
2021-04-09,62848.91,282.48,1745.55,1120.0
2021-04-08,62566.43,99.3,1743.15,1116.5
2021-04-07,62467.13,12.52,1738.05,1118.0
2021-04-06,62454.61,119.84,1733.05,1121.0
2021-04-05,62574.45,135.58,1725.6,1128.0
2021-04-02,62710.03,261.21,1729.34,1128.0
2021-04-01,62448.82,1239.52,1716.05,1132.0
2021-03-31,61209.3,720.9,1686.46,1129.0
2021-03-30,61930.2,931.1,1698.05,1134.5
2021-03-29,62861.3,91.14,1725.1,1133.5
2021-03-26,62770.16,375.16,1728.7,1129.5
2021-03-25,63145.32,193.07,1732.13,1134.0
2021-03-24,62952.25,164.04,1730.65,1131.5
2021-03-23,63116.29,375.46,1739.0,1129.0
2021-03-22,62740.83,599.51,1730.19,1128.0
2021-03-19,63340.34,510.2,1743.63,1130.0
2021-03-18,62830.14,136.56,1736.5,1125.5
2021-03-17,62966.7,89.78,1734.88,1129.0
2021-03-16,63056.48,99.98,1732.75,1132.0
2021-03-15,62956.5,608.34,1726.95,1134.0
2021-03-12,62348.16,888.99,1706.5,1136.5
2021-03-11,63237.15,301.0,1739.25,1131.0
2021-03-10,62936.15,664.9,1715.05,1141.5
2021-03-09,62271.25,366.74,1702.15,1138.0
2021-03-08,61904.51,431.7,1695.85,1135.5
2021-03-05,61472.81,489.95,1693.72,1129.0
2021-03-04,61962.76,349.91,1714.05,1124.5
2021-03-03,62312.67,57.09,1726.8,1122.5
2021-03-02,62255.58,1575.4,1722.15,1124.5
2021-02-26,63830.98,1.4,1768.09,1123.0
2021-02-25,63832.38,485.36,1790.45,1109.0
2021-02-24,64317.74,353.55,1805.69,1108.0
2021-02-23,64671.29,348.39,1809.9,1111.5
2021-02-22,64322.9,1355.09,1794.5,1115.0
2021-02-19,62967.81,651.59,1775.0,1103.5
2021-02-18,63619.4,51.39,1787.7,1107.0
2021-02-17,63568.01,1028.81,1787.87,1106.0
2021-02-16,64596.82,140.81,1823.4,1102.0
2021-02-15,64456.01,1091.04,1818.6,1102.5
2021-02-10,65547.05,546.37,1845.2,1105.0
2021-02-09,66093.42,899.65,1844.72,1114.5
2021-02-08,65193.77,94.31,1809.06,1121.0
2021-02-05,65288.08,181.89,1808.45,1123.0
2021-02-04,65469.97,337.0,1821.6,1118.0
2021-02-03,65806.97,543.25,1835.9,1115.0
2021-02-02,66350.22,708.39,1849.4,1116.0
2021-02-01,67058.61,739.45,1863.3,1119.5
2021-01-29,66319.16,170.03,1846.05,1117.5
2021-01-28,66149.13,525.72,1838.03,1119.5
2021-01-27,65623.41,310.12,1847.35,1105.0
2021-01-26,65933.53,274.91,1854.4,1106.0
2021-01-25,65658.62,488.78,1852.53,1102.5
2021-01-22,66147.4,35.97,1862.1,1105.0
2021-01-21,66183.37,482.75,1871.58,1100.0
2021-01-20,65700.62,267.86,1855.4,1101.5
2021-01-19,65432.76,151.42,1843.65,1104.0
2021-01-18,65281.34,200.45,1834.4,1107.0
2021-01-15,65481.79,476.31,1851.74,1100.0
2021-01-14,65005.48,488.49,1843.3,1097.0
2021-01-13,65493.97,69.95,1857.15,1097.0
2021-01-12,65563.92,347.16,1855.75,1099.0
2021-01-11,65216.76,1140.69,1849.29,1097.0
2021-01-08,66357.45,786.35,1890.25,1092.0
2021-01-07,67143.8,1132.3,1918.8,1088.5
2021-01-06,68276.1,263.3,1953.85,1087.0
2021-01-05,68012.8,726.37,1941.85,1089.5
2021-01-04,67286.43,1115.74,1931.75,1083.5
2020-12-31,66170.69,504.5,1893.6,1087.0
2020-12-30,65666.19,423.44,1878.3,1087.5
2020-12-29,66089.63,302.57,1878.32,1094.5
2020-12-28,66392.2,250.73,1883.48,1096.5
2020-12-24,66642.93,130.61,1879.45,1103.0
