SeasonName,SeasonCode,RaceName,RaceCode
Season 1 2014/15,2022014,Beijing E-Prix,20140201
Season 1 2014/15,2022014,Putrajaya E-Prix,20140202
Season 1 2014/15,2022014,Punta del Este E-Prix,20140203
Season 1 2014/15,2022014,Buenos Aires ePrix,20140204
Season 1 2014/15,2022014,Miami E-Prix,20140205
Season 1 2014/15,2022014,Long Beach E-Prix,20140206
Season 1 2014/15,2022014,Monaco E-Prix,20140207
Season 1 2014/15,2022014,Berlin E-Prix,20140208
Season 1 2014/15,2022014,Moscow E-Prix,20140209
Season 1 2014/15,2022014,London E-Prix,20140210
Season 1 2014/15,2022014,London E-Prix,20140211
Season 2 2015/16,2022015,Beijing E-Prix,20150201
Season 2 2015/16,2022015,Putrajaya E-Prix,20150202
Season 2 2015/16,2022015,Punta del Este E-Prix,20150203
Season 2 2015/16,2022015,Buenos Aires E-Prix,20150204
Season 2 2015/16,2022015,Mexico City E-Prix,20150205
Season 2 2015/16,2022015,Long Beach E-Prix,20150206
Season 2 2015/16,2022015,Paris E-Prix,20150207
Season 2 2015/16,2022015,Berlin E-Prix,20150208
Season 2 2015/16,2022015,London E-Prix,20150209
Season 2 2015/16,2022015,London E-Prix,20150210
Season 3 2016/17,2022016,Hong Kong E-Prix,20160201
Season 3 2016/17,2022016,Marrakesh E-Prix,20160202
Season 3 2016/17,2022016,Buenos Aires E-Prix,20160203
Season 3 2016/17,2022016,Mexico City E-Prix,20160204
Season 3 2016/17,2022016,Monaco E-Prix,20160205
Season 3 2016/17,2022016,Paris E-Prix,20160206
Season 3 2016/17,2022016,Berlin E-Prix,20160207
Season 3 2016/17,2022016,Berlin E-Prix,20160208
Season 3 2016/17,2022016,New York City E-Prix,20160209
Season 3 2016/17,2022016,New York City E-Prix,20160210
Season 3 2016/17,2022016,Montr?al E-Prix,20160211
Season 3 2016/17,2022016,Montr?al E-Prix,20160212
Season 4 2017/18,2022017,Hong Kong E-Prix,20170201
Season 4 2017/18,2022017,Hong Kong E-Prix,20170202
Season 4 2017/18,2022017,Marrakesh E-Prix,20170203
Season 4 2017/18,2022017,Santiago E-Prix,20170204
Season 4 2017/18,2022017,Mexico City E-Prix,20170205
Season 4 2017/18,2022017,Punta del Este E-Prix,20170206
Season 4 2017/18,2022017,Rome E-Prix,20170207
Season 4 2017/18,2022017,Paris E-Prix,20170208
Season 4 2017/18,2022017,Berlin E-Prix,20170209
Season 4 2017/18,2022017,Zurich E-Prix,20170210
Season 4 2017/18,2022017,New York E-Prix,20170211
Season 4 2017/18,2022017,New York E-Prix,20170212
Season 5 2018/19,2022018,Ad Diriyah E-Prix,20180201
Season 5 2018/19,2022018,Marrakesh E-Prix,20180202
Season 5 2018/19,2022018,Santiago E-Prix,20180203
Season 5 2018/19,2022018,Mexico City E-Prix,20180204
Season 5 2018/19,2022018,Hong Kong E-Prix,20180205
Season 5 2018/19,2022018,Sanya E-Prix,20180206
Season 5 2018/19,2022018,Rome E-Prix,20180207
Season 5 2018/19,2022018,Paris E-Prix,20180208
Season 5 2018/19,2022018,Monaco E-Prix,20180209
Season 5 2018/19,2022018,Berlin E-Prix,20180210
Season 5 2018/19,2022018,Swiss E-Prix,20180211
Season 5 2018/19,2022018,New York City E-Prix - R1,20180212
Season 5 2018/19,2022018,New York City E-Prix - R2,20180213
Season 6 2019/20,2022019,Mexico City E-Prix - R4,20190204
Season 6 2019/20,2022019,Berlin E-Prix - R6,20190206
Season 6 2019/20,2022019,Berlin E-Prix - R7,20190207
Season 6 2019/20,2022019,Berlin E-Prix - R8,20190208
Season 6 2019/20,2022019,Berlin E-Prix - R9,20190209
Season 6 2019/20,2022019,Berlin E-Prix - R10,20190210
Season 6 2019/20,2022019,Berlin E-Prix - R11,20190211
Season 7 2020/21,2022020,Diriyah E-Prix - R1,20200201
Season 7 2020/21,2022020,Diriyah E-Prix - R2,20200202
Season 7 2020/21,2022020,Rome E-Prix - R3,20200203
Season 7 2020/21,2022020,Rome E-Prix - R4,20200204
Season 7 2020/21,2022020,DHL Valencia E-Prix - R5,20200205
Season 7 2020/21,2022020,DHL Valencia E-Prix - R6,20200206
Season 7 2020/21,2022020,Monaco E-Prix - R7,20200207
